source_url	parsed_url
http://microsoft.com	http://www.microsoft.com/onerfstatics/marketingsites-neu-prod/mscomhp/_scrf/js/themes=default/d3-e6b21f/2f-63ce8f/45-f9a0d4/aa-dc1460/2d-7a9063/dc-7e9864/4f-5115f8/7d-266f10/4a-abd94b/78-4c7d22/e1-c35781/23-c64e70/cd-23d3b0/6d-1e7ed0/b7-cadaa7/ca-40b7b0/4e-ee3a55/3e-f5c39b/c3-6454d7/f9-7592d3/92-10345d/f8-73a5f2/79-499886/7e-cda2d3/db-f3b1fd/93-283c2d/91-97a04f/1f-100dea/33-abe4df/4d-6e4c52/e3-082b89?ver=2.0
http://microsoft.com	https://www.xbox.com/
http://microsoft.com	https://www.microsoft.com
http://microsoft.com	http://www.microsoft.com/onerfstatics/marketingsites-neu-prod/cyrillic/mscomhp/_scrf/css/themes=default.device=uplevel_web_pc/21-d580cf/bd-e161dc/21-7d6c87/5a-e79275/cc-2aad1a?ver=2.0
http://microsoft.com	https://www.microsoft.com/ru-ru/p/xbox-game-pass-ultimate/cfq7ttc0khs0?WT.mc_id=CNavGamesXboxGamePassUltimate
http://microsoft.com	https://www.xbox.com/ru-ru/games/xbox-one?xr=shellnav
http://microsoft.com	https://www.microsoft.com/ru-ru/store/games/windows?icid=CNavGamesWindowsGames
http://microsoft.com	https://www.microsoft.com/microsoft-365
http://microsoft.com	https://products.office.com/ru-ru/microsoft-teams/free?icid=SSM_AS_Promo_Apps_MicrosoftTeams
http://microsoft.com	https://azure.microsoft.com/
http://microsoft.com	https://mem.gfx.ms
http://microsoft.com	https://www.microsoft.com/enterprise/automotive
http://microsoft.com	https://www.microsoft.com/ru-ru/education/products/office/default.aspx
http://microsoft.com	https://www.microsoft.com/ru-ru/together?icid=mscom_marcom
http://microsoft.com	https://products.office.com/ru-ru/academic/compare-office-365-education-plans
http://microsoft.com	https://www.microsoft.com/ru-ru/evalcenter/evaluate-windows-10-enterprise
http://microsoft.com	https://www.microsoft.com/ru-ru/p/xbox-live-gold/cfq7ttc0k5dj?WT.mc_id=CNavGamesXboxLiveGold
http://microsoft.com	http://microsoft.com#primaryArea
http://microsoft.com	https://www.microsoft.com/ru-ru/security/default.aspx
http://microsoft.com	https://developer.microsoft.com/ru-ru/office
http://microsoft.com	https://www.microsoft.com/investor/default.aspx
http://microsoft.com	https://www.xbox.com/ru-ru/xbox-game-pass
http://microsoft.com	https://visualstudio.microsoft.com/downloads/?utm_medium=post-banner&amp;utm_source=microsoft.com&amp;utm_campaign=channel+banner&amp;utm_content=launch+vs2019
http://microsoft.com	https://msdn.microsoft.com/ru-ru
http://microsoft.com	https://www.microsoft.com/net/
http://microsoft.com	https://www.xbox.com/ru-ru/xbox-one-s
http://microsoft.com	https://www.microsoft.com/ru-ru/education?icid=CNavMSCOML0_Studentsandeducation
http://microsoft.com	https://go.microsoft.com/fwlink/?LinkID=206977
http://microsoft.com	https://www.skype.com/ru/
http://microsoft.com	https://web.vortex.data.microsoft.com
http://microsoft.com	https://choice.microsoft.com/
http://microsoft.com	https://www.microsoft.com/cloud-platform/windows-server
http://microsoft.com	https://outlook.live.com/owa/
